Title,Location,Company,Salary/Pay
Development Associate,Remote,Yleana Leadership Foundation,$25 - $30 an hour
At Your Service - Seasonal Customer Service Associate,"Altamonte Springs, FL 32701",Macy's at Altamonte Mall,Up to $32 an hour
"Learning & Development Onboarding Specialist, Cash App","San Francisco, CA 94103 (South of Market area)•Remote",Cash App,$15 - $20 an hour
Senior People Operations Manager (Worldwide Remote),Remote,DuckDuckGo,"$50,000 - $70,000 a year"
Overnight Pet Sitter (In the client's home),"Orlando, FL 32814 (Colonial Town Center area)","Happy Tails Pet Care, Inc.",$35 - $45 an hour
Sales Representative,"Orlando, FL+30 locations•Remote",Jerry,"$45,000 - $60,000 a year"
Student Success Coach - CTU Online,Remote,Perdoceo Education Corporation,From $19 an hour
Learning and Development Specialist,+1 locationRemote,Egnyte,$15 - $38 an hour
Software Engineer/Mobile App Developer,"Norfolk, VA 23510 (Downtown area)",RecoveryTrek,"$42,466 - $85,193 a year"
iOS Mobile App Developer,Remote,Shmack,$15 - $20 an hour
Flutter Mobile App Developer,"Arlington, TX 76010 (East area)",Orderlivery LLC,"$45,000 - $46,000 a year"
Mobile App Developer,"Post Falls, ID 83854","Safeguard Equipment, Inc.","From $45,000 a year"
Android/iOS Mobile App Developer,Remote,Retail Zipline,"$90,000 - $120,000 a year"
Jr. iOS Developer,"Brentwood, TN 37027",Celero Commerce,"$79,000 - $87,000 a year"
Mobile App developer - Remote,"Seattle, WA 98104 (Downtown area)•Remote",Cystems Logic Inc,"$50,000 - $60,000 a year"
Android Developer,"Tempe, AZ 85281",HiredVirtual,"$65,000 - $80,000 a year"
Mobile app developer,"Seattle, WA 98101 (Downtown area)•Remote",Factal,"$90,000 - $120,000 a year"
Junior .NET Software Developer,"Louisville, KY•Remote",YSlingshot,"$120,000 - $135,000 a year"
Mobile App Developer,Remote,Vedoc App,$70 an hour
Quality Assurance Tester,"New York, NY•Remote",GameChanger,$15 - $20 an hour
Front End Developer,Remote,AppFire Technology,"$50,000 a year"
Mobile App Developer,"Portland, OR 97225 (West Slope area)•Remote",Conifer App Solutions,"$45,000 - $46,000 a year"
Influencer Marketing (Brands),Remote,Empire Collective Inc.,"$35,000 - $55,000 a year"
Data Scientist with biostatics focus,"West Sacramento, CA+7 locations",Envision,"$55,000 a year"
Data Scientist,Remote,VertexOne,"$90,000 - $120,000 a year"
Data Scientist,+2 locationsRemote,Bally's Interactive,$31 - $36 an hour
Data Scientist,Remote,Meridian Technologies,"$55,000 a year"
Data Scientist,Remote,workcog,$50 - $70 an hour
"Data Scientist, Personalization","New York, NY+7 locations•Remote",Spotify,"$125,000 - $145,000 a year"
Data Scientist (Remote),Remote,Yelp,"Up to $112,700 a year"
Data Scientist,+1 locationRemote,National General Insurance,$31 - $79 an hour
Data Scientist,"Johnston, IA 50131•Remote","Growers Edge Financial, Inc.","$302,700 - $455,100 a year"
Data Scientist,"Juno Beach, FL 33408+1 location",NextEra Energy,"$70,527 - $164,574 a year"
Entry Level Data Scientist: 2022,"Research Triangle Park, NC 27709+2 locations",IBM,"$63,919 - $240,750 a year"
Data Scientist,"Orlando, FL+1 location","E-Logic, Inc.","$85,000 - $100,000 a year"
Data Scientist,Remote,Inclusive Links,$40 - $45 an hour
"Data Scientist, Marketing Analytics",+1 locationRemote,Tinder,"$90,000 - $105,000 a year"
Staff Data Scientist (Remote),New York State+13 locations•Remote,Quora,"$6,299 - $12,161 a month"
Data Scientist/Analytics Entry Level Full Time Positions,"Columbus, IN•Remote",Cummins Inc.,$20 - $53 an hour
Entry Level Data Scientist: 2022,"Research Triangle Park, NC 27709",IBM,"$125,000 - $145,000 a year"
Entry-Level Geochemist/Data Scientist,Remote,"Life Cycle Geo, LLC","Up to $112,700 a year"
Data Scientist - Entry Level,"Sacramento, CA•Remote",Numerdox,"$63,919 - $240,750 a year"
Data Scientist - Entry Level,United States•Remote,DonorSearch,$20 - $53 an hour
Entry Level Data Scientist,"Hazelwood, MO",BOEING,"$90,000 - $120,000 a year"
Entry Level - Associate Data Scientist (Federal),"Washington, DC 20001 (Swampoodle area)",IBM,$18 - $100 an hour
Entry Level - Associate Data Scientist (Commercial),"New York, NY 10001 (Chelsea area)",IBM,$40 - $80 an hour
